@relation cobranca_nominal

@attribute Idade {0,1,2,4}
@attribute Atraso {0,1,2,6}
@attribute Valor {0,1,2,5}
@attribute CONTATO {baixo,medio,alto,muito_alto}
@attribute EFETIVO {um,dois,tres,quatro_mais}
@attribute Acordo {0,1}

@data
4,0,5,muito_alto,dois,0
1,6,1,medio,um,1
0,0,2,muito_alto,um,1
4,1,2,medio,um,1
2,6,0,alto,um,1
2,6,0,alto,tres,1
4,1,2,alto,um,1
1,6,0,medio,dois,0
2,6,0,alto,um,0
4,6,0,medio,um,1
1,6,0,alto,um,1
1,2,2,medio,um,1
1,6,0,alto,tres,1
2,2,1,alto,um,0
1,6,0,medio,um,0
1,6,0,medio,dois,1
2,6,1,medio,um,1
2,2,2,muito_alto,um,1
1,6,0,medio,um,0
4,2,2,alto,um,0
1,0,1,medio,um,1
1,6,0,alto,um,1
0,6,0,medio,um,1
1,6,0,alto,um,1
4,6,0,medio,dois,0
4,0,2,medio,dois,0
0,6,0,alto,um,1
1,6,0,muito_alto,um,1
4,0,1,muito_alto,um,1
4,0,1,baixo,um,1
1,6,0,alto,dois,1
0,2,2,alto,um,1
2,2,0,medio,um,0
2,2,1,baixo,um,1
2,0,1,alto,um,1
4,2,5,alto,tres,1
4,2,1,baixo,um,1
1,2,1,medio,um,1
4,6,0,baixo,dois,1
0,6,0,muito_alto,um,1
4,0,5,muito_alto,um,0
1,0,2,muito_alto,um,0
1,0,1,medio,um,0
4,6,0,medio,um,0
2,2,1,alto,dois,1
1,6,0,medio,um,1
1,6,0,medio,um,1
1,2,2,medio,um,0
4,2,0,medio,um,1
1,0,2,medio,um,1
4,6,2,baixo,dois,1
0,2,1,medio,um,0
4,2,1,medio,quatro_mais,1
0,2,1,alto,um,1
1,6,1,baixo,um,1
0,6,0,muito_alto,um,1
0,6,0,medio,um,1
2,6,0,medio,dois,1
2,2,2,alto,dois,1
0,0,1,alto,um,1
0,6,0,medio,um,1
2,1,1,medio,dois,1
4,0,5,alto,dois,1
1,6,0,alto,um,1
1,2,1,medio,um,0
4,0,2,baixo,tres,1
4,2,1,alto,um,0
1,6,1,medio,dois,1
2,6,0,alto,dois,0
0,2,0,medio,dois,1
1,0,5,muito_alto,um,1
2,1,1,muito_alto,um,1
2,6,0,medio,um,1
4,0,5,medio,um,1
4,6,2,alto,um,1
4,6,1,alto,um,1
4,0,5,muito_alto,dois,1
4,2,1,medio,um,1
4,2,5,medio,um,0
2,2,2,muito_alto,um,0
4,6,1,baixo,um,1
1,2,2,alto,tres,1
1,6,0,baixo,um,0
2,2,1,alto,um,1
0,6,0,medio,um,0
0,6,1,medio,um,1
4,2,5,muito_alto,um,0
4,0,2,medio,dois,0
2,0,5,baixo,tres,1
1,2,0,medio,um,1
1,0,2,alto,um,1
1,0,2,medio,um,1
0,6,0,baixo,um,1
2,1,5,medio,um,0
4,6,1,alto,quatro_mais,0
1,2,2,medio,um,0
0,2,0,alto,um,1
4,2,2,medio,dois,1
1,6,1,muito_alto,um,1
1,0,5,baixo,um,1
2,1,1,alto,um,1
2,6,0,medio,um,0
2,0,5,muito_alto,um,1
4,6,0,baixo,dois,1
1,6,2,alto,tres,1
4,0,2,medio,tres,1
0,0,5,alto,um,0
4,2,0,medio,um,1
2,2,1,muito_alto,um,1
4,0,2,medio,um,1
2,1,2,alto,um,1
4,0,5,medio,um,1
2,2,5,muito_alto,um,0
2,2,2,medio,dois,1
4,6,0,medio,um,1
1,6,1,alto,um,1
1,0,2,medio,um,1
1,1,1,medio,um,1
4,0,2,medio,dois,0
1,6,0,medio,dois,1
4,0,1,muito_alto,um,1
1,6,1,medio,dois,1
0,2,1,alto,dois,0
1,6,0,medio,um,1
1,0,2,alto,um,0
